Date,Suburb,Address,Invoice Number,Item Description,Item Description2,Item Price
7/02/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Woolworths Spring Water 1.5L Bottle,,0.7
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Capsicum Green,0.432 kg NET @ $3.50/kg,1.51
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Pumpkin Butternut Cut,0.761 kg NET @ $3.50/kg,2.66
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,WW Chicken Breast Fillets Bulk RSPCA,,13.09
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Cauliflower Whole,,2.5
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Woolworths Spring Water 1.5L Bottle,,0.7
8/03/2021,3327 Blackburn South,117-125 Canterbury Road ,6.29333E+19,^#V Energy Blue Sugar Free 4X275ml,,6.35
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Kiwifruit Gold Imported,0.947 kg NET @ $7.90/kg,7.48
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Pumpkin Kent Cut,0.801 kg NET @ $2.00/kg,1.6
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Haagen Dazs Strawberries 457ml,,5.75
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Haagen Dazs Salted Caramel 457ml,,5.75
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Uncle Tobys Le Snak Chese Chddr 6pk 132g,,2.35
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Sea Friend Roasted Seaweed 8pk 5g,,3
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Twinings Assam Bold 80pk,,5.6
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Avocado Hass,,1.2
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lettuce Iceberg,,1.5
