Title,Price,product__pricing_area
Coles Frozen Fruit Mixed Berries | 500g,$5.00,$10.00 per 1kg
Streets Golden Gaytime Ice Cream Sticks 4 pack | 400mL,$4.75,$1.19 per 100mL | Was $9.50
Peters Drumstick Minis Vanilla Ice Cream 6 pack | 490mL,$9.50,$1.94 per 100mL
Streets Blue Ribbon Vanilla Ice Cream Tub | 2L,$5.75,$0.29 per 100mL | Was $7.65
Coles Frozen Straight Cut Potato Chips | 1kg,$2.70,$2.70 per 1kg
Coles Frozen Fruit Blueberries | 500g,$6.20,$12.40 per 1kg
McCain Frozen Superfries Shoestring Potato Chips | 900g,$3.50,$3.89 per 1kg
Peters Drumstick Vanilla Ice Cream 4 pack | 475mL,$9.50,$2.00 per 100mL
I&J Raw Prawns Tail Off | 500g,$24.00,$4.80 per 100g
Coles Frozen Crinkle Cut Potato Chips | 1kg,$2.70,$2.70 per 1kg
Coles Frozen Fruit Sliced Strawberries | 500g,$5.00,$10.00 per 1kg
Drumstick Boysenberry Ice Cream 4 pack | 475mL,$9.50,$2.00 per 100mL
Natures Nutrients Frozen Chopped Spinach | 250g,$1.00,$4.00 per 1kg
Coles Frozen Peas | 500g,$2.10,$4.20 per 1kg
Coles Frozen Diced Mango | 500g,$5.00,$10.00 per 1kg
I&J Raw Prawns Tail On | 500g,$24.00,$4.80 per 100g
Coles Frozen Baby Peas | 500g,$2.50,$5.00 per 1kg
Drumstick Ice Cream Mini Boysenberry 6Pack | 490mL,$9.50,$1.98 per 100mL
Coles Frozen Potato French Fries | 1kg,$2.70,$2.70 per 1kg
Coles Frozen Fruit Raspberries | 500g,$7.00,$14.00 per 1kg | Was $8.00 on Aug 2022
Coles Chocolate Coated Ice Creams 10 Pack | 865mL,$3.50,$0.40 per 100mL
Coles Frozen Cauliflower Broccoli Mix | 500g,$2.80,$5.60 per 1kg
Sara Lee Classic French Vanilla Ice Cream | 1L,$12.00,$1.20 per 100mL
Coles Frozen Cut Beans | 1kg,$2.20,$2.20 per 1kg
Coles Frozen Four Fruits Mix | 500g,$5.00,$10.00 per 1kg
I&J Raw Prawns Extra Large Tail On | 500g,$27.00,$5.40 per 100g
Peters Drumstick Choc Mint Ice Cream 4 pack | 475mL,$9.50,$2.00 per 100mL
McCain Superfries Steak Cut | 900g,$3.50,$3.89 per 1kg
Coles Frozen Peas | 1kg,$2.20,$2.20 per 1kg
Steggles Frozen Crumbed Chicken Breast Tenders  | 400g,$6.00,$15.00 per 1kg
McCain Frozen Shredded Potato Hash Browns | 750g,$3.50,$4.67 per 1kg
Drumstick Ice Cream Caramel 4Pack | 475mL,$9.50,$2.00 per 100mL
Coles Vegetable Cocltail Spring Rolls 60 Pack | 1kg,$7.00,$0.70 per 100g
Coles Frozen Pastry Puff Sheet Ready Rolled 6 Pack | 1kg,$2.30,$0.23 per 100g
Coles Frozen Corn Kernels | 1kg,$3.20,$3.20 per 1kg
McCain Frozen Superfries Straight Cut Potato Chips | 900g,$3.50,$3.89 per 1kg
Coles Vanilla Ice Cream Tub | 2L,$4.00,$2.00 per 1L
Dr. Oetker Frozen Ristorante Pepperoni Pizza | 310g,$8.50,$2.74 per 100g
Coles Basa Portions Skin Off 2 Pack | 260g,$5.00,$19.23 per 1kg
Streets Calippo Mini Ice Raspberry Pineapple Ice Cream 10 pack | 575mL,$8.00,$1.39 per 100mL
Peters Frosty Fruits Tropical 8 pack | 600mL,$6.00,$1.00 per 100mL | Was $7.50 on Sep 2022
Hong Kong Dim Sim BBQ Pork Buns | 300g,$7.50,$2.50 per 100g
Peters Gluten Free Frosty Fruits Watermelon Slice Ice Cream Stick 8 pack | 520mL,$6.00,$1.15 per 100mL | Was $7.50 on Sep 2022
Coles Stir Fry Vegetables | 500g,$2.70,$0.54 per 100g
Coles Vanilla Ice Cream Sandwich 4 Pack | 440mL,$3.20,$0.73 per 100mL
McCain Frozen Steak Cut Beer Batter Chips | 750g,$5.30,$0.71 per 100g
Coles Frozen Sweet Potato Chips | 750g,$6.00,$8.00 per 1kg
Birds Eye Snap Frozen Broccoli Florets | 500g,$4.00,$8.00 per 1kg
Zooper Dooper 8 Cosmic Flavours Water Ice 70mL Tubes | 24 pack,$5.85,$0.35 per 100mL | Was $6.50
Bulla Creamy Classics Vanilla Ice Cream Tub | 2L,$10.00,$0.50 per 100mL
Coles Vanilla Ice Cream Cones | 475mL,$3.90,$0.82 per 100mL
McCain Frozen Pub Style Potato Wedges | 750g,$5.50,$7.33 per 1kg
Coles Irresistible Ice Cream Vanilla Bean | 1L,$6.50,$0.65 per 100mL
Four'N Twenty Frozen Meat Pies 4 Pack | 700g,$8.50,$1.21 per 100g
Coles Beer Battered Steakhouse Chips | 750g,$3.40,$4.53 per 1kg
Cheesebuddy Brazilian Cheese Bread | 450g,$6.60,$1.47 per 100g
Streets Paddle Pop Cyclone Ice Cream Sticks 8 pack | 688mL,$8.00,$1.16 per 100mL
Dr. Oetker Frozen Ristorante Spinaci (Spinach) Pizza | 390g,$8.50,$2.18 per 100g
