Title,Price1,product__pricing_area2
Coles Cotton Make-Up Pads Round | 80 pack,$1.50,$0.02 per 1ea
Dove Triple Moisturising Body Wash | 1L,$17.00,$1.70 per 100mL
Libra Pads Ultra Thin Regular Wings | 14 pack,$5.00,$0.36 per 1ea
Coles Shower Puff | 1 each,$2.50,$2.50 per 1ea
Coles Paracetamol Caplets | 20 pack,$0.80,$0.04 per 1ea
Panadol Rapid Caplets for Pain Relief Paracetamol 500mg | 20 pack,$5.20,$0.26 per 1ea
Coles Antibacterial Hand Wash Lime Fresh | 1L,$3.00,$3.00 per 1L
Colgate Advanced Whitening & Tartar Toothpaste | 115g,$3.85,$3.35 per 100g | Was $5.50
Colgate Advanced Whitening Toothpaste | 115g,$3.85,$3.35 per 100g | Was $5.50
Oral B 3D White  2 In 1 Whitening Strengthens Enamel Paste | 110g,$2.50,$2.27 per 100g | Was $5.00
Coles Ibuprofen Tablets 200mg | 24 pack,$1.55,$0.06 per 1ea
Colgate Total Advanced Whitening Toothpaste | 115g,$6.50,$5.65 per 100g
Colgate Total Advanced Clean Toothpaste | 115g,$6.50,$5.65 per 100g
Swisspers Cotton Tips Paperstems | 400 pack,$6.80,$0.02 per 1ea
Palmolive Cherry Blossom Foaming Hand Wash | 250mL,$4.00,$1.60 per 100mL
U by Kotex Extra Overnight Pads Long With Wings | 8 pack,$3.08,$0.39 per 1ea | Was $4.40
U by Kotex Ultrathin Pads Regular With Wings | 14 pack,$3.08,$0.22 per 1ea | Was $4.40
Colgate Great Regular Flavour Toothpaste | 180g,$3.50,$1.94 per 100g
Coles Antibacterial Hand Wash Refill Aloe Vera & Chamomile | 1L,$3.00,$0.30 per 100mL
Palmolive Aloe Vera Liquid Hand Wash | 250mL,$3.00,$1.20 per 100mL
U by Kotex Designer Series Liners | 30 pack,$2.73,$0.09 per 1ea | Was $3.90
Colgate Triple Action Toothpaste | 80g,$2.00,$2.50 per 100g
Coles Cotton Wool Tips Paper Stem | 200 pack,$3.00,$0.02 per 1ea
U by Kotex Ultrathin Pads Super With Wings | 12 pack,$3.08,$0.26 per 1ea | Was $4.40
Colgate Total Charcoal Deep Clean Multi Benefit Toothpaste | 115g,$6.50,$5.65 per 100g
Colgate Max Fresh Coolmint Toothpaste | 115g,$3.85,$3.35 per 100g | Was $5.50
U By Kotex Extra Overnight Pads With Wings | 10 pack,$3.00,$0.30 per 1ea | Was $4.40
Swisspers Cotton Round Make Up Pads | 80 pack,$4.10,$0.05 per 1ea
Palmolive Anti-Bacterial Lime Liquid Hand Wash | 250mL,$3.00,$1.20 per 100mL
U by Kotex Designer Series Pads Regular With Wings | 22 pack,$5.14,$0.23 per 1ea | Was $7.35
Oral-B Essential Waxed Dental Floss | 2x50m,$5.60,$0.06 per 1M | Was $7.00
Panadol Optizorb Paracetamol Tablets | 20 pack,$4.00,$0.20 per 1ea | Was $4.20 on Jun 2021
